modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;tl-n;0.019364;0;44773;107216;3
modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;tl;0.015678;0;44773;107216;3
modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;otftl;0.015953;0;44773;107216;3
modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;otfatl-n;0.018416;0;44773;107216;3
modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;atl-n;0.018428;0;44773;107216;3
modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;atl;0.015980;0;44773;107216;3
modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;otfatl;0.015905;0;44773;107216;3
modelchecking;Lift_(Correct)nlifts=4_liveness_2_2;otftl-n;0.019900;0;44773;107216;3
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;tl-n;0.021650;0;39178;139025;2
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;tl;0.024531;0;39178;139025;2
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;otftl;0.025169;0;39178;139025;2
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;otfatl-n;0.023439;0;39178;139025;2
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;atl-n;0.023700;0;39178;139025;2
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;atl;0.024628;0;39178;139025;2
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;otfatl;0.025196;0;39178;139025;2
modelchecking;SWPdatasize=8_windowsize=1_infinitely_often_receive_for_all_d;otftl-n;0.024425;0;39178;139025;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;tl-n;0.000636;0;2266;5418;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;tl;0.000475;0;2266;5418;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;otftl;0.000487;0;2266;5418;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;otfatl-n;0.000624;0;2266;5418;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;atl-n;0.000626;0;2266;5418;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;atl;0.000566;0;2266;5418;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;otfatl;0.000550;0;2266;5418;2
equivchecking;Buffer_SWP_(datasize=2_capacity=1_windowsize=1)eq=branching-bisim;otftl-n;0.000662;0;2266;5418;2
random1;rn-2000-2000-1-2000-1;tl-n;0.053261;0;2000;2004379;1271
random1;rn-2000-2000-1-2000-1;otfatl-n;0.052884;0;2000;2004379;1271
random1;rn-2000-2000-1-2000-1;atl-n;0.052555;0;2000;2004379;1271
random1;rn-2000-2000-1-2000-1;otftl-n;0.054367;0;2000;2004379;1271
equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;tl-n;32.240869;0;37636481;120755185;2
equivchecking;SWP_SWP_(datasize=2_capacity=1_windowsize=2)eq=branching-bisim;tl;34.328230;0;37636481;120755185;2
